timestamp,symbol,regime,strategy,current_qty
2020-12-13,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-14,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-14,ETH-USDT,TREND_UP,TrendUp,1.3045770136282457
2020-12-14,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-14,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-15,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-15,ETH-USDT,TREND_UP,TrendUp,1.3045770136282457
2020-12-15,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-15,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-16,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-16,ETH-USDT,TREND_UP,TrendUp,1.3045770136282457
2020-12-16,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-16,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-17,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-17,ETH-USDT,TREND_UP,TrendUp,1.3045770136282457
2020-12-17,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-17,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-18,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-18,ETH-USDT,TREND_UP,TrendUp,1.3045770136282457
2020-12-18,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-18,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-19,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-19,ETH-USDT,TREND_UP,TrendUp,1.3045770136282457
2020-12-19,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-19,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-20,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-20,ETH-USDT,TREND_UP,TrendUp,1.3045770136282457
2020-12-20,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-20,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-21,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-21,ETH-USDT,TREND_UP,TrendUp,1.3045770136282457
2020-12-21,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-21,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-22,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-22,ETH-USDT,TREND_UP,TrendUp,1.3045770136282457
2020-12-22,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-22,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-23,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-23,ETH-USDT,TREND_UP,TrendUp,1.3045770136282457
2020-12-23,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-23,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-24,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-24,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-24,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-24,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-25,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-25,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-25,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-25,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-26,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-26,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-26,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-26,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-27,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-27,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-27,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-27,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-28,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-28,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-28,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-28,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-29,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-29,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-29,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-29,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-30,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-30,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-30,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-30,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-31,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2020-12-31,ETH-USDT,TREND_UP,TrendUp,0.0
2020-12-31,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-12-31,BNB-USDT,TREND_UP,TrendUp,0.0
2021-01-01,BTC-USDT,TREND_UP,TrendUp,0.05310026844789586
2021-01-01,ETH-USDT,TREND_UP,TrendUp,0.0
