signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,strategy_id,exit_reason
2024-10-02,2024-10-03,BTC-USDT,buy,0.22605540623042616,60679.594634999994,13.716950415112512,30.324635,positive,TrendUp,signal
2024-10-02,2024-10-03,BNB-USDT,sell,20.61636963125913,542.22875,11.178788334695598,0.27125,negative,TrendUp,Close below SMA30
2024-10-03,2024-10-04,SOL-USDT,buy,57.73831967180295,136.878405,7.90312910405651,0.06840500000000001,positive,TrendUp,signal
2024-10-09,2024-10-10,BTC-USDT,sell,0.22605540623042616,60605.69199500001,13.700244323805814,30.318005000000003,negative,TrendUp,Close below SMA30
2024-10-09,2024-10-10,SOL-USDT,sell,57.73831967180295,139.26033500000003,8.040657739832369,0.069665,negative,TrendUp,Close below SMA30
2024-11-04,2024-11-05,SOL-USDT,buy,57.11872917731196,158.02897499999997,9.026414225193202,0.07897499999999999,positive,TrendUp,signal
2024-12-02,2024-12-03,SOL-USDT,sell,57.11872917731196,225.617135,12.886964031826032,0.112865,negative,TrendUp,Stop/Trail hit
2024-12-18,2024-12-19,ETH-USDT,buy,2.5328349676122297,3628.6134,9.190678903466303,1.8134000000000001,positive,TrendUp,signal
2024-12-19,2024-12-20,ETH-USDT,sell,2.5328349676122297,3415.3014950000006,8.650395051474327,1.7085050000000002,negative,TrendUp,Close below SMA30
2024-12-19,2024-12-20,BTC-USDT,buy,0.11837224062573501,97510.59092999999,11.542547133123573,48.73093,positive,TrendUp,signal
2024-12-19,2024-12-20,BNB-USDT,buy,12.808269665903335,665.942805,8.529575028508079,0.332805,positive,TrendUp,signal
2024-12-20,2024-12-21,BTC-USDT,sell,0.11837224062573501,97756.53728,11.571660353646795,48.90272,negative,TrendUp,Close below SMA30
2024-12-20,2024-12-21,BNB-USDT,sell,12.808269665903335,678.2607,8.687345949384362,0.33930000000000005,negative,TrendUp,Close below SMA30
2025-01-02,2025-01-03,SOL-USDT,short,36.96278532216602,208.19585000000004,7.69549850851588,0.10415,negative,TrendDown,signal
2025-01-03,2025-01-04,ETH-USDT,short,2.8627030414280954,3607.1955000000003,10.32632952887574,1.8045,negative,TrendDown,signal
2025-01-03,2025-01-04,BTC-USDT,short,0.13822288003583327,98125.082915,13.56313156426624,49.087085,negative,TrendDown,signal
2025-01-03,2025-01-04,SOL-USDT,cover,36.96278532216602,218.10899999999998,8.061916143832308,0.109,positive,TrendDown,Close above SMA30
2025-01-04,2025-01-05,ETH-USDT,cover,2.8627030414280954,3658.70844,10.473795778886643,1.82844,positive,TrendDown,Close above SMA30
2025-01-06,2025-01-07,BTC-USDT,cover,0.13822288003583327,102286.7178,14.138364723728532,51.1178,positive,TrendDown,Close above SMA30
2025-01-14,2025-01-15,BTC-USDT,short,0.1392161768002039,96512.56957500002,13.436110949395182,48.280425,negative,TrendDown,signal
2025-01-15,2025-01-16,BTC-USDT,cover,0.1392161768002039,100547.598675,13.997852273974749,50.248675000000006,positive,TrendDown,Close above SMA30
2025-01-23,2025-01-24,ETH-USDT,short,2.517921865010244,3336.55089,8.401174439650392,1.6691099999999999,negative,TrendDown,signal
2025-02-01,2025-02-02,BTC-USDT,buy,0.12613637556573082,100685.97783,12.700164313767727,50.31783,positive,TrendUp,signal
2025-02-01,2025-02-02,SOL-USDT,buy,25.179738246310777,213.136515,5.366721658430891,0.106515,positive,TrendUp,signal
2025-02-02,2025-02-03,BTC-USDT,sell,0.12613637556573082,97651.739705,12.317436514076867,48.850295,negative,TrendUp,Close below SMA30
2025-02-02,2025-02-03,SOL-USDT,sell,25.179738246310777,203.41824000000003,5.122018037725225,0.10176,negative,TrendUp,Close below SMA30
2025-03-02,2025-03-03,BTC-USDT,short,0.11917445554585919,94222.855005,11.22895744519731,47.134995,negative,TrendDown,signal
2025-03-02,2025-03-03,BNB-USDT,short,14.827390805006784,623.6280300000001,9.246776517766497,0.31197,negative,TrendDown,signal
2025-03-08,2025-03-09,BNB-USDT,cover,14.827390805006784,593.3965499999999,8.798522549192747,0.29655000000000004,positive,Router,StateSwitch
2025-03-24,2025-03-25,BTC-USDT,cover,0.11917445554585919,87541.90908,10.432759352054108,43.74908,positive,TrendDown,Close above SMA30
2025-04-04,2025-04-05,BTC-USDT,short,0.15533279741594766,83847.925065,13.024332757869207,41.944935,negative,TrendDown,signal
2025-04-12,2025-04-13,BTC-USDT,cover,0.15533279741594766,85319.548455,13.252924135780644,42.638455,positive,TrendDown,Close above SMA30
2025-04-20,2025-04-21,BNB-USDT,short,27.93210395300574,592.473615,16.5490346035931,0.296385,negative,TrendDown,signal
2025-04-22,2025-04-23,ETH-USDT,cover,2.517921865010244,1757.128125,4.424311325561954,0.878125,positive,TrendDown,Close above SMA30
2025-04-22,2025-04-23,BNB-USDT,cover,27.93210395300574,618.80925,17.28464429808152,0.30925,positive,TrendDown,Close above SMA30
2025-05-29,2025-05-30,SOL-USDT,buy,56.23295798502456,166.793355,9.379283723896286,0.08335500000000001,positive,TrendUp,signal
2025-05-30,2025-05-31,BTC-USDT,buy,0.17382154663818777,104037.462735,18.083952680910524,51.992735,positive,TrendUp,signal
2025-05-30,2025-05-31,SOL-USDT,sell,56.23295798502456,156.1219,8.779196243242206,0.0781,negative,TrendUp,Close below SMA30
2025-05-31,2025-06-01,SOL-USDT,buy,56.22397075912845,156.528225,8.800638345378278,0.078225,positive,TrendUp,signal
2025-06-01,2025-06-02,SOL-USDT,sell,56.22397075912845,157.60116000000002,8.860963011444724,0.07884000000000001,negative,Router,StateSwitch
2025-06-04,2025-06-05,BTC-USDT,sell,0.17382154663818777,104644.51157,18.189470848295137,52.34843,negative,TrendUp,Close below SMA30
2025-06-05,2025-06-06,ETH-USDT,buy,3.7335374976945634,2415.22701,9.017340607279722,1.20701,positive,TrendUp,signal
2025-06-05,2025-06-06,BTC-USDT,buy,0.1803877273925243,101559.444345,18.320077360642102,50.754345,positive,TrendUp,signal
2025-06-05,2025-06-06,BNB-USDT,buy,25.250965754144538,633.646665,16.000190238142896,0.31666500000000003,positive,TrendUp,signal
2025-06-06,2025-06-07,ETH-USDT,sell,3.7335374976945634,2474.86195,9.23998989194249,1.2380499999999999,negative,TrendUp,Close below SMA30
2025-06-06,2025-06-07,BTC-USDT,sell,0.1803877273925243,104236.285785,18.802946704593836,52.144214999999996,negative,Router,StateSwitch
2025-06-06,2025-06-07,BNB-USDT,sell,25.250965754144538,642.3886450000001,16.220933675746316,0.321355,negative,TrendUp,Close below SMA30
2025-06-15,2025-06-16,ETH-USDT,buy,3.8371614531963525,2548.8938099999996,9.780517076022786,1.2738099999999999,positive,TrendUp,signal
2025-06-16,2025-06-17,ETH-USDT,sell,3.8371614531963525,2542.897915,9.757509858851376,1.2720850000000001,negative,TrendUp,Close below SMA30
2025-06-23,2025-06-24,BTC-USDT,short,0.15807937559366592,105281.27303000001,16.642797902288663,52.66697,negative,TrendDown,signal
2025-06-25,2025-06-26,BTC-USDT,cover,0.15807937559366592,107394.26029499999,16.97681760977723,53.670294999999996,positive,TrendDown,Close above SMA30
2025-06-27,2025-06-28,BNB-USDT,short,31.59150275700331,645.39714,20.38906552767205,0.32286000000000004,negative,TrendDown,signal
2025-06-29,2025-06-30,ETH-USDT,short,3.9556564680237916,2498.8399550000004,9.884552430552032,1.250045,negative,TrendDown,signal
2025-06-29,2025-06-30,BNB-USDT,cover,31.59150275700331,655.22745,20.699619793139245,0.32745,positive,TrendDown,Close above SMA30
2025-07-01,2025-07-02,BNB-USDT,short,35.273866888018695,646.01683,22.787511668839805,0.32317,negative,TrendDown,signal
2025-07-02,2025-07-03,ETH-USDT,cover,3.9556564680237916,2571.6952049999995,10.17274277144402,1.285205,positive,TrendDown,Close above SMA30
2025-07-02,2025-07-03,BNB-USDT,cover,35.273866888018695,660.02985,23.281805071018947,0.32985000000000003,positive,TrendDown,Close above SMA30
2025-07-31,2025-08-01,BTC-USDT,buy,0.18486350706388543,115821.952035,21.41125224817522,57.882035,positive,TrendUp,signal
2025-08-01,2025-08-02,BTC-USDT,sell,0.18486350706388543,113241.27104,20.93417850882641,56.64896,negative,TrendUp,Close below SMA30
2025-08-01,2025-08-02,SOL-USDT,buy,49.49530998975655,162.791355,8.057408579377507,0.08135500000000001,positive,TrendUp,signal
2025-08-02,2025-08-03,BTC-USDT,buy,0.184653615055227,112602.623175,20.792481433965232,56.273175,positive,TrendUp,signal
2025-08-02,2025-08-03,SOL-USDT,sell,49.49530998975655,158.41075500000002,7.840589424436378,0.07924500000000001,negative,TrendUp,Close below SMA30
2025-08-03,2025-08-04,BTC-USDT,sell,0.184653615055227,114151.705595,21.078525102836736,57.104405,negative,Router,StateSwitch
2025-08-11,2025-08-12,BTC-USDT,short,0.37894252410968554,118626.657,44.9526848302739,59.343,negative,RangeMeanReversion,signal
2025-08-12,2025-08-13,BTC-USDT,cover,0.37894252410968554,120194.15704499999,45.54667725386823,60.067045,positive,Router,StateSwitch
2025-09-01,2025-09-02,ETH-USDT,buy,2.083641592241834,4316.65725,8.994366585552257,2.15725,positive,TrendUp,signal
2025-09-02,2025-09-03,ETH-USDT,sell,2.083641592241834,4324.326755,9.010347085162163,2.163245,negative,TrendUp,Close below SMA30
2025-09-04,2025-09-05,ETH-USDT,buy,2.170589851196359,4299.70878,9.332904240967878,2.1487800000000004,positive,TrendUp,signal
2025-09-04,2025-09-05,BNB-USDT,buy,18.5844150259898,844.0418099999999,15.686023296327626,0.42181,positive,TrendUp,signal
2025-09-05,2025-09-06,ETH-USDT,sell,2.170589851196359,4305.30627,9.345054095954051,2.15373,negative,TrendUp,Close below SMA30
2025-09-19,2025-09-20,ETH-USDT,buy,2.882907702404737,4470.824295,12.88897379615373,2.234295,positive,TrendUp,signal
2025-09-21,2025-09-22,ETH-USDT,sell,2.882907702404737,4442.7575099999995,12.808059845495489,2.2224899999999996,negative,TrendUp,Close below SMA30
2025-09-23,2025-09-24,SOL-USDT,buy,46.53806036284956,213.39664499999998,9.931065946239578,0.106645,positive,TrendUp,signal
2025-09-24,2025-09-25,BTC-USDT,buy,0.23147533558454092,113363.66350499999,26.240892052912848,56.653504999999996,positive,TrendUp,signal
2025-09-24,2025-09-25,SOL-USDT,sell,46.53806036284956,211.50419500000004,9.842994993905906,0.10580500000000001,negative,TrendUp,Close below SMA30
